| Length | BBMS (mean ± CI) | BBMS Basic (mean ± CI) | DijkstraPrims (mean ± CI) |
|--------|------------------|------------------------|---------------------------|
| 10 | 0.0003 ± 0.0001 | 0.0002 ± 0.0000 | 0.0001 ± 0.0000 |
| 20 | 0.0011 ± 0.0001 | 0.0012 ± 0.0000 | 0.0002 ± 0.0001 |
| 30 | 0.0027 ± 0.0002 | 0.0029 ± 0.0001 | 0.0004 ± 0.0002 |
| 40 | 0.0075 ± 0.0083 | 0.0053 ± 0.0004 | 0.0007 ± 0.0006 |
| 50 | 0.0072 ± 0.0004 | 0.0086 ± 0.0004 | 0.0011 ± 0.0010 |
| 60 | 0.0132 ± 0.0073 | 0.0134 ± 0.0003 | 0.0019 ± 0.0015 |
| 70 | 0.0167 ± 0.0069 | 0.0187 ± 0.0013 | 0.0013 ± 0.0007 |
| 80 | 0.0213 ± 0.0076 | 0.0248 ± 0.0012 | 0.0056 ± 0.0082 |
| 90 | 0.0263 ± 0.0061 | 0.0328 ± 0.0013 | 0.0055 ± 0.0100 |
| 100 | 0.0331 ± 0.0066 | 0.0437 ± 0.0062 | 0.0075 ± 0.0032 |
