algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
DijkstraPrims,19,12609,14488,182679192,20502.8,0,0,0,0,0,0,0,1334834,1311691,24856,18993,1311691,0.71803,ok
BBMSInter,20,12609,1227,15471243,8464.08,23558670,535343564,558902234,30920515,0,0,0,0,0,0,-1,15471243,100,ok
BBMSDppInstant,20,12609,1227,15471243,8464.08,23558670,72863446,96422116,30920515,443269,32432362,443269,0,0,0,-1,15471243,100,ok
BBMSDppStepwise,20,12609,1227,15471243,8464.08,23558670,72863446,96422116,30920515,443269,7728698,6913698,0,0,0,-1,15471243,100,ok
DijkstraPrims,20,12609,1227,15471243,8464.08,0,0,0,0,0,0,0,8991947,8987289,20098,6911.81,8987289,58.0903,ok
BBMSInter,21,6833,16688,114029104,20749.8,220087708,5944741578,6164829286,228015800,0,0,0,0,0,0,-1,114029104,100,ok
BBMSDppInstant,21,6833,16688,114029104,20749.8,220087708,467907461,687995169,228015800,1026763,149614721,1026763,0,0,0,-1,114029104,100,ok
BBMSDppStepwise,21,6833,16688,114029104,20749.8,220087708,467907461,687995169,228015800,1026763,102389368,101329193,0,0,0,-1,114029104,100,ok
DijkstraPrims,21,6833,16688,114029104,20749.8,0,0,0,0,0,0,0,125791,101369,24563,13611.2,101369,0.0888975,ok
DijkstraPrims,22,6833,53741,367212253,43148.3,0,0,0,0,0,0,0,94228652,94184792,56564,22101.7,94184792,25.6486,ok
BBMSInter,23,6833,4385,29962705,20753.7,55798142,2406390622,2462188764,59905441,0,0,0,0,0,0,-1,29962705,100,ok
BBMSDppInstant,23,6833,4385,29962705,20753.7,55798142,125963152,181761294,59905441,502800,39357286,502800,0,0,0,-1,29962705,100,ok
BBMSDppStepwise,23,6833,4385,29962705,20753.7,55798142,125963152,181761294,59905441,502800,27237744,26711633,0,0,0,-1,29962705,100,ok
DijkstraPrims,23,6833,4385,29962705,20753.7,0,0,0,0,0,0,0,154582,142719,12735,9957.25,142719,0.476322,ok
BBMSInter,24,6833,14488,98996504,3710.61,185006740,3026943420,3211950160,197971653,0,0,0,0,0,0,-1,98996504,100,ok
BBMSDppInstant,24,6833,14488,98996504,3710.61,185006740,415315808,600322548,197971653,821391,146331373,821391,0,0,0,-1,98996504,100,ok
BBMSDppStepwise,24,6833,14488,98996504,3710.61,185006740,415315808,600322548,197971653,821391,98863101,97985569,0,0,0,-1,98996504,100,ok
DijkstraPrims,24,6833,14488,98996504,3710.61,0,0,0,0,0,0,0,82686015,82662204,77853,54015.1,82662204,83.5001,ok
BBMSInter,25,6833,1227,8384091,20574.9,14107660,1056264093,1070371753,16759909,0,0,0,0,0,0,-1,8384091,100,ok
BBMSDppInstant,25,6833,1227,8384091,20574.9,14107660,37470700,51578360,16759909,190006,3570822,190006,0,0,0,-1,8384091,100,ok
BBMSDppStepwise,25,6833,1227,8384091,20574.9,14107660,37470700,51578360,16759909,190006,2474408,2267598,0,0,0,-1,8384091,100,ok
