algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSCore,2,1321,687,907527,0.965761,5.63953e+06,53.6602,53.6602,5342,0,0,0,0,4,0.96573,0,3.13e-05,ok,1
BBMSInter,2,1321,687,907527,0.256821,5.63953e+06,53.6602,53.6602,12432,0,0,0,0,3,0.237402,0.019365,5.441e-05,ok,1
BBMSDppInstant,2,1321,687,907527,0.202996,5.63953e+06,53.6602,199.32,50437,0,0,0,0,1,0.161485,0.041505,6.019e-06,ok,1
BBMSDppStepwise,2,1321,687,907527,0.275431,5.63953e+06,53.6602,189.637,47849,0,0,0,0,1,0.175446,0.099971,1.3609e-05,ok,1
DijkstraPrims,2,1321,687,907527,0.0999962,5.63953e+06,53.6602,53.6602,7238,0,0,0,0,1,0.099987,0,9.247e-06,ok,1
BBMSCore,2,1321,687,907527,0.966181,5.63953e+06,53.6602,53.6602,5342,0,0,0,0,4,0.956028,0.010005,0.000147965,ok,2
BBMSInter,2,1321,687,907527,0.254961,5.63953e+06,53.6602,53.6602,12432,0,0,0,0,3,0.234939,0.019966,5.6269e-05,ok,2
BBMSDppInstant,2,1321,687,907527,0.202038,5.63953e+06,53.6602,199.316,50437,0,0,0,0,2,0.133119,0.068896,2.3273e-05,ok,2
BBMSDppStepwise,2,1321,687,907527,0.273719,5.63953e+06,53.6602,189.648,47849,0,0,0,0,1,0.204137,0.069566,1.6176e-05,ok,2
DijkstraPrims,2,1321,687,907527,0.0988567,5.63953e+06,53.6602,53.6602,7238,0,0,0,0,1,0.080036,0.018811,9.734e-06,ok,2
BBMSCore,3,1321,1033,1364593,1.79047,1.3638e+07,53.6602,53.6602,8020,0,0,0,0,7,1.78025,0.010033,0.000179239,ok,0
BBMSInter,3,1321,1033,1364593,0.387277,1.3638e+07,53.6602,76.4648,18681,0,0,0,0,1,0.36713,0.020147,3.86e-07,ok,0
BBMSDppInstant,3,1321,1033,1364593,0.302198,1.3638e+07,53.6602,295.957,75244,0,0,0,0,2,0.183013,0.119157,2.8022e-05,ok,0
BBMSDppStepwise,3,1321,1033,1364593,0.385922,1.3638e+07,53.6602,283.273,72004,0,0,0,0,1,0.335727,0.050182,1.3412e-05,ok,0
DijkstraPrims,3,1321,1033,1364593,0.212336,1.3638e+07,53.6602,53.6602,15348,0,0,0,0,2,0.202417,0.009901,1.8101e-05,ok,0
BBMSCore,3,1321,1033,1364593,1.8547,1.3638e+07,53.6602,53.6602,8020,0,0,0,0,21,1.84437,0.01,0.000324541,ok,1
BBMSInter,3,1321,1033,1364593,0.38954,1.3638e+07,53.6602,76.4766,18681,0,0,0,0,1,0.369766,0.019763,1.1428e-05,ok,1
BBMSDppInstant,3,1321,1033,1364593,0.302019,1.3638e+07,53.6602,295.949,75244,0,0,0,0,4,0.202735,0.099237,4.7319e-05,ok,1
BBMSDppStepwise,3,1321,1033,1364593,0.387259,1.3638e+07,53.6602,283.254,72004,0,0,0,0,2,0.316727,0.070502,3.04e-05,ok,1
DijkstraPrims,3,1321,1033,1364593,0.209571,1.3638e+07,53.6602,53.6602,15348,0,0,0,0,1,0.189078,0.020484,8.575e-06,ok,1
BBMSCore,3,1321,1033,1364593,1.84949,1.3638e+07,53.6602,53.6602,8020,0,0,0,0,7,1.8393,0.010027,0.000157932,ok,2
BBMSInter,3,1321,1033,1364593,0.390733,1.3638e+07,53.6602,76.4922,18681,0,0,0,0,1,0.370384,0.020327,2.1557e-05,ok,2
BBMSDppInstant,3,1321,1033,1364593,0.304011,1.3638e+07,53.6602,295.934,75244,0,0,0,0,0,0.194138,0.109885,-1.2223e-05,ok,2
BBMSDppStepwise,3,1321,1033,1364593,0.388418,1.3638e+07,53.6602,283.262,72004,0,0,0,0,3,0.307584,0.080814,2.0354e-05,ok,2
DijkstraPrims,3,1321,1033,1364593,0.210184,1.3638e+07,53.6602,53.6602,15348,0,0,0,0,3,0.189466,0.020523,0.000195183,ok,2
BBMSCore,4,1321,714,943194,0.943238,1.96138e+07,53.6602,53.6602,5549,0,0,0,0,6,0.942979,0,0.000258971,ok,0
BBMSInter,4,1321,714,943194,0.10206,1.96138e+07,53.6602,53.9922,12918,0,0,0,0,1,0.082304,0.019759,-2.825e-06,ok,0
BBMSDppInstant,4,1321,714,943194,0.205565,1.96138e+07,53.6602,208.117,52557,0,0,0,0,0,0.115637,0.089938,-9.762e-06,ok,0
BBMSDppStepwise,4,1321,714,943194,0.265555,1.96138e+07,53.6602,196.73,49648,0,0,0,0,1,0.215186,0.050366,2.806e-06,ok,0
DijkstraPrims,4,1321,714,943194,0.162371,1.96138e+07,53.6602,53.6602,12746,0,0,0,0,2,0.141257,0.021088,2.574e-05,ok,0
BBMSCore,4,1321,714,943194,0.94385,1.96138e+07,53.6602,53.6602,5549,0,0,0,0,3,0.933688,0.010001,0.000160503,ok,1
BBMSInter,4,1321,714,943194,0.100182,1.96138e+07,53.6602,54.0039,12918,0,0,0,0,1,0.080781,0.019383,1.7643e-05,ok,1
BBMSDppInstant,4,1321,714,943194,0.20586,1.96138e+07,53.6602,208.113,52557,0,0,0,0,3,0.145172,0.06064,4.8091e-05,ok,1
BBMSDppStepwise,4,1321,714,943194,0.267168,1.96138e+07,53.6602,196.734,49648,0,0,0,0,1,0.189018,0.07814,1.0094e-05,ok,1
DijkstraPrims,4,1321,714,943194,0.162539,1.96138e+07,53.6602,53.6602,12746,0,0,0,0,1,0.162528,0,1.1391e-05,ok,1
BBMSCore,4,1321,714,943194,0.945758,1.96138e+07,53.6602,53.6602,5549,0,0,0,0,4,0.922364,0.023257,0.000136562,ok,2
BBMSInter,4,1321,714,943194,0.0997032,1.96138e+07,53.6602,53.9922,12918,0,0,0,0,1,0.089087,0.010605,1.1237e-05,ok,2
BBMSDppInstant,4,1321,714,943194,0.207825,1.96138e+07,53.6602,208.055,52557,0,0,0,0,4,0.155762,0.051993,6.9899e-05,ok,2
BBMSDppStepwise,4,1321,714,943194,0.270267,1.96138e+07,53.6602,196.734,49648,0,0,0,0,2,0.191217,0.079039,1.1481e-05,ok,2
DijkstraPrims,4,1321,714,943194,0.164264,1.96138e+07,53.6602,53.6602,12746,0,0,0,0,0,0.134133,0.03014,-8.504e-06,ok,2
BBMSCore,5,1321,615,812415,1.45154,1.48926e+07,53.6602,53.6602,4783,0,0,0,0,7,1.45149,0,4.6589e-05,ok,0
BBMSInter,5,1321,615,812415,0.187895,1.48926e+07,53.6602,53.6602,11130,0,0,0,0,3,0.16835,0.019517,2.7757e-05,ok,0
BBMSDppInstant,5,1321,615,812415,0.169019,1.48926e+07,53.6602,176.566,44485,0,0,0,0,3,0.127512,0.041467,3.9924e-05,ok,0
BBMSDppStepwise,5,1321,615,812415,0.202409,1.48926e+07,53.6602,169.934,42784,0,0,0,0,4,0.152486,0.049867,5.5637e-05,ok,0
DijkstraPrims,5,1321,615,812415,0.0805812,1.48926e+07,53.6602,53.6602,6718,0,0,0,0,1,0.070823,0.009746,1.223e-05,ok,0
BBMSCore,5,1321,615,812415,1.44933,1.48926e+07,53.6602,53.6602,4783,0,0,0,0,4,1.44928,0,4.7191e-05,ok,1
BBMSInter,5,1321,615,812415,0.18999,1.48926e+07,53.6602,53.6602,11130,0,0,0,0,2,0.167944,0.022041,5.487e-06,ok,1
BBMSDppInstant,5,1321,615,812415,0.169496,1.48926e+07,53.6602,176.566,44485,0,0,0,0,2,0.081206,0.088262,2.7858e-05,ok,1
BBMSDppStepwise,5,1321,615,812415,0.201467,1.48926e+07,53.6602,169.945,42784,0,0,0,0,2,0.161711,0.039733,2.2504e-05,ok,1
DijkstraPrims,5,1321,615,812415,0.0813782,1.48926e+07,53.6602,53.6602,6718,0,0,0,0,1,0.059232,0.022142,4.196e-06,ok,1
BBMSCore,5,1321,615,812415,1.45077,1.48926e+07,53.6602,53.6602,4783,0,0,0,0,9,1.45048,0,0.000296395,ok,2
BBMSInter,5,1321,615,812415,0.18797,1.48926e+07,53.6602,53.6602,11130,0,0,0,0,2,0.168427,0.019521,2.2137e-05,ok,2
BBMSDppInstant,5,1321,615,812415,0.168706,1.48926e+07,53.6602,176.543,44485,0,0,0,0,2,0.137644,0.031032,2.9755e-05,ok,2
BBMSDppStepwise,5,1321,615,812415,0.200935,1.48926e+07,53.6602,169.934,42784,0,0,0,0,1,0.131573,0.069348,1.3557e-05,ok,2
DijkstraPrims,5,1321,615,812415,0.0805449,1.48926e+07,53.6602,53.6602,6718,0,0,0,0,1,0.070778,0.009751,1.5949e-05,ok,2
BBMSCore,6,1321,3701,4889021,5.51607,1.82803e+07,53.6602,115.617,28694,0,0,0,0,23,5.47541,0.039961,0.000703527,ok,0
BBMSInter,6,1321,3701,4889021,0.904662,1.82803e+07,53.6602,264.867,66890,0,0,0,0,11,0.814165,0.090391,0.000105999,ok,0
BBMSDppInstant,6,1321,3701,4889021,1.19109,1.82803e+07,53.6602,1075.11,276479,0,0,0,0,7,0.890905,0.300061,0.000125455,ok,0
BBMSDppStepwise,6,1321,3701,4889021,1.79338,1.82803e+07,53.6602,1000.81,256964,0,0,0,0,7,1.43278,0.36049,0.000109345,ok,0
DijkstraPrims,6,1321,3701,4889021,1.23843,1.82803e+07,53.6602,194.98,60278,0,0,0,0,4,1.17832,0.059893,0.000216992,ok,0
BBMSCore,6,1321,3701,4889021,5.49279,1.82803e+07,53.6602,115.742,28694,0,0,0,0,26,5.45209,0.04001,0.000682578,ok,1
BBMSInter,6,1321,3701,4889021,0.904568,1.82803e+07,53.6602,264.742,66890,0,0,0,0,6,0.815089,0.089413,6.5859e-05,ok,1
BBMSDppInstant,6,1321,3701,4889021,1.18999,1.82803e+07,53.6602,1075.02,276479,0,0,0,0,4,0.790231,0.399739,1.7534e-05,ok,1
BBMSDppStepwise,6,1321,3701,4889021,1.79479,1.82803e+07,53.6602,1000.81,256964,0,0,0,0,6,1.47402,0.320702,6.5065e-05,ok,1
DijkstraPrims,6,1321,3701,4889021,1.24335,1.82803e+07,53.6602,194.973,60278,0,0,0,0,7,1.17315,0.070142,5.3841e-05,ok,1
BBMSCore,6,1321,3701,4889021,5.51829,1.82803e+07,53.6602,115.738,28694,0,0,0,0,19,5.49771,0.01999,0.000591867,ok,2
BBMSInter,6,1321,3701,4889021,0.898548,1.82803e+07,53.6602,264.887,66890,0,0,0,0,6,0.828656,0.069834,5.7535e-05,ok,2
BBMSDppInstant,6,1321,3701,4889021,1.18261,1.82803e+07,53.6602,1075.11,276479,0,0,0,0,7,0.79191,0.390595,0.000101275,ok,2
BBMSDppStepwise,6,1321,3701,4889021,1.79234,1.82803e+07,53.6602,1000.84,256964,0,0,0,0,9,1.50286,0.28931,0.000174784,ok,2
DijkstraPrims,6,1321,3701,4889021,1.24584,1.82803e+07,53.6602,194.949,60278,0,0,0,0,6,1.17605,0.069717,7.4983e-05,ok,2
BBMSCore,7,1321,1170,1545570,1.55176,1.06349e+07,53.6602,53.6602,9087,0,0,0,0,6,1.55151,0,0.000246241,ok,0
