algorithm,N,sample,runtime_s,frechet_dist,ok
BBMSInter,12000,0,35.811,999.248,True
BBMSInter,12000,1,38.562,999.981,True
BBMSInter,12000,2,56.6236,1000.59,True
BBMSDppStepwise,12000,0,64.5184,999.248,True
BBMSDppStepwise,12000,1,62.591,999.981,True
BBMSDppStepwise,12000,2,64.4142,1000.59,True
BBMSCore,12000,0,211.406,999.248,True
BBMSCore,12000,1,198.699,999.981,True
BBMSCore,12000,2,262.296,1000.59,True
BBMSDppInstant,12000,0,73.6285,999.248,True
BBMSDppInstant,12000,1,72.7577,999.981,True
BBMSDppInstant,12000,2,74.6775,1000.59,True
DijkstraPrims,13000,0,37.334,999.759,True
DijkstraPrims,13000,1,37.9812,999.363,True
DijkstraPrims,13000,2,37.0404,999.216,True
BBMSInter,13000,0,52.1991,999.759,True
BBMSInter,13000,1,32.817,999.363,True
BBMSInter,13000,2,78.2086,999.216,True
BBMSDppStepwise,13000,0,87.1189,999.759,True
BBMSDppStepwise,13000,1,87.3312,999.363,True
BBMSDppStepwise,13000,2,88.9125,999.216,True
BBMSCore,13000,0,254.484,999.759,True
BBMSCore,13000,1,243.361,999.363,True
BBMSCore,13000,2,316.301,999.216,True
BBMSDppInstant,13000,0,100.014,999.759,True
BBMSDppInstant,13000,1,99.7943,999.363,True
BBMSDppInstant,13000,2,100.041,999.216,True
DijkstraPrims,14000,0,43.8577,999.01,True
DijkstraPrims,14000,1,44.0288,1000.69,True
DijkstraPrims,14000,2,43.821,999.494,True
BBMSInter,14000,0,82.5831,999.01,True
BBMSInter,14000,1,86.483,1000.69,True
BBMSInter,14000,2,71.1233,999.494,True
BBMSDppStepwise,14000,0,111.493,999.01,True
BBMSDppStepwise,14000,1,104.847,1000.69,True
BBMSDppStepwise,14000,2,105.797,999.494,True
BBMSCore,14000,0,345.055,999.01,True
BBMSCore,14000,1,363.667,1000.69,True
BBMSCore,14000,2,282.503,999.494,True
BBMSDppInstant,14000,0,126.05,999.01,True
BBMSDppInstant,14000,1,130.707,1000.69,True
BBMSDppInstant,14000,2,121.395,999.494,True
DijkstraPrims,15000,0,49.1553,1000.49,True
DijkstraPrims,15000,1,48.2424,999.344,True
DijkstraPrims,15000,2,47.881,999.369,True
