algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSDppInstant,6500,2,1001.58,52509186,213160653,265669839,84483945,17528746,66039420,17528746,0,0,42250000,100,ok
BBMSDppStepwise,6500,2,1001.58,52509186,213160653,265669839,84483945,17528746,50247898,41666065,0,0,42250000,100,ok
DijkstraPrims,6500,2,1001.58,0,0,0,0,0,0,0,42250000,42247227,42247227,99.9934,ok
BBMSCore,6500,3,1003.71,9259843386,0,9259843386,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,3,1003.71,52552830,1050924037,1103476867,84485302,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,3,1003.71,52552830,213118849,265671679,84485302,17467259,66085109,17467259,0,0,42250000,100,ok
BBMSDppStepwise,6500,3,1003.71,52552830,213118849,265671679,84485302,17467259,50243406,41653899,0,0,42250000,100,ok
DijkstraPrims,6500,3,1003.71,0,0,0,0,0,0,0,42250000,42247975,42247975,99.9952,ok
BBMSCore,6500,4,999.029,9644299276,0,9644299276,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,4,999.029,52513564,986859317,1039372881,84484786,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,4,999.029,52513564,213172597,265686161,84484786,17529944,65806690,17529944,0,0,42250000,100,ok
BBMSDppStepwise,6500,4,999.029,52513564,213172597,265686161,84484786,17529944,50235376,41645830,0,0,42250000,100,ok
DijkstraPrims,6500,4,999.029,0,0,0,0,0,0,0,42250000,42246357,42246357,99.9914,ok
BBMSInter,11000,0,990.746,150344006,3282425440,3432769446,241975305,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,0,990.746,150344006,610670302,761014308,241975305,50210374,192619585,50210374,0,0,121000000,100,ok
BBMSDppStepwise,11000,0,990.746,150344006,610670302,761014308,241975305,50210374,144386996,119762636,0,0,121000000,100,ok
DijkstraPrims,11000,0,990.746,0,0,0,0,0,0,0,121000000,120989422,120989422,99.9913,ok
BBMSInter,11000,1,1003.52,150205648,3472142278,3622347926,241973015,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,1,1003.52,150205648,610864168,761069816,241973015,50274083,192504659,50274083,0,0,121000000,100,ok
BBMSDppStepwise,11000,1,1003.52,150205648,610864168,761069816,241973015,50274083,144369255,119723768,0,0,121000000,100,ok
DijkstraPrims,11000,1,1003.52,0,0,0,0,0,0,0,121000000,120996496,120996496,99.9971,ok
BBMSInter,11000,2,1008.22,150116074,3375618624,3525734698,241976901,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,2,1008.22,150116074,610976337,761092411,241976901,50365556,192170513,50365556,0,0,121000000,100,ok
BBMSDppStepwise,11000,2,1008.22,150116074,610976337,761092411,241976901,50365556,144334516,119678097,0,0,121000000,100,ok
DijkstraPrims,11000,2,1008.22,0,0,0,0,0,0,0,121000000,120998950,120998950,99.9991,ok
BBMSInter,11000,3,1003.09,150240136,3376272797,3526512933,241971215,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,3,1003.09,150240136,610860548,761100684,241971215,50249937,192370648,50249937,0,0,121000000,100,ok
BBMSDppStepwise,11000,3,1003.09,150240136,610860548,761100684,241971215,50249937,144482505,119742559,0,0,121000000,100,ok
