algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
DijkstraPrims,500,2,0.0509953,1000.92,6.73438,14.6875,3716,0,0,0,0,1,0.050995,0,2.61e-07,ok,1
BBMSCore,500,2,0.0504654,1000.92,6.73438,9.26172,1474,0,0,0,0,2,0.050365,0,0.000100408,ok,2
BBMSInter,500,2,0.0241478,1000.92,6.73438,16.8594,3427,0,0,0,0,1,0.015218,0.008928,1.821e-06,ok,2
BBMSDppInstant,500,2,0.0665881,1000.92,6.73438,58.6172,14142,0,0,0,0,1,0.066587,0,1.075e-06,ok,2
BBMSDppStepwise,500,2,0.0746473,1000.92,6.73438,56.8711,13692,0,0,0,0,1,0.041477,0.033169,1.253e-06,ok,2
DijkstraPrims,500,2,0.0509121,1000.92,6.73438,14.6797,3716,0,0,0,0,0,0.050921,0,-8.895e-06,ok,2
BBMSCore,500,3,0.0553626,1001.13,6.73438,9.24219,1474,0,0,0,0,1,0.055362,0,6.49e-07,ok,0
BBMSInter,500,3,0.0216269,1001.13,6.73438,16.875,3427,0,0,0,0,1,0.021626,0,9.33e-07,ok,0
BBMSDppInstant,500,3,0.0661853,1001.13,6.73438,58.6289,14127,0,0,0,0,1,0.046395,0.019789,1.272e-06,ok,0
BBMSDppStepwise,500,3,0.0742031,1001.13,6.73438,56.875,13673,0,0,0,0,1,0.045152,0.02905,1.08e-06,ok,0
DijkstraPrims,500,3,0.0502911,1001.13,6.73438,14.6484,3706,0,0,0,0,1,0.050285,0,6.093e-06,ok,0
BBMSCore,500,3,0.0550679,1001.13,6.73438,9.24219,1474,0,0,0,0,1,0.055069,0,-1.125e-06,ok,1
BBMSInter,500,3,0.0215225,1001.13,6.73438,16.8711,3427,0,0,0,0,0,0.021528,0,-5.517e-06,ok,1
BBMSDppInstant,500,3,0.06466,1001.13,6.73438,58.4922,14127,0,0,0,0,2,0.045294,0.019349,1.7035e-05,ok,1
BBMSDppStepwise,500,3,0.0750291,1001.13,6.73438,56.875,13673,0,0,0,0,0,0.035906,0.039132,-8.876e-06,ok,1
DijkstraPrims,500,3,0.0501818,1001.13,6.73438,14.6523,3706,0,0,0,0,1,0.050174,0,7.795e-06,ok,1
BBMSCore,500,3,0.0549263,1001.13,6.73438,9.24219,1474,0,0,0,0,1,0.048397,0.006526,3.27e-06,ok,2
BBMSInter,500,3,0.0213956,1001.13,6.73438,16.8594,3427,0,0,0,0,0,0.021402,0,-6.407e-06,ok,2
BBMSDppInstant,500,3,0.0641051,1001.13,6.73438,58.6172,14127,0,0,0,0,2,0.041694,0.022386,2.513e-05,ok,2
BBMSDppStepwise,500,3,0.0720723,1001.13,6.73438,56.875,13673,0,0,0,0,1,0.03982,0.032251,1.32e-06,ok,2
DijkstraPrims,500,3,0.0507524,1001.13,6.73438,14.6523,3706,0,0,0,0,0,0.05076,0,-7.558e-06,ok,2
BBMSCore,500,4,0.0515627,991.643,6.73438,9.24219,1474,0,0,0,0,1,0.046022,0.005536,4.693e-06,ok,0
BBMSInter,500,4,0.0221369,991.643,6.73438,16.8477,3427,0,0,0,0,0,0.013582,0.008561,-6.145e-06,ok,0
BBMSDppInstant,500,4,0.0640779,991.643,6.73438,58.625,14149,0,0,0,0,2,0.0528,0.011265,1.289e-05,ok,0
BBMSDppStepwise,500,4,0.070296,991.643,6.73438,56.8633,13678,0,0,0,0,1,0.05973,0.010568,-1.995e-06,ok,0
DijkstraPrims,500,4,0.0498222,991.643,6.73438,14.6602,3705,0,0,0,0,0,0.04983,0,-7.849e-06,ok,0
BBMSCore,500,4,0.051463,991.643,6.73438,9.24219,1474,0,0,0,0,2,0.051454,0,8.955e-06,ok,1
BBMSInter,500,4,0.0222673,991.643,6.73438,16.8711,3427,0,0,0,0,0,0.009336,0.012937,-5.663e-06,ok,1
BBMSDppInstant,500,4,0.0642955,991.643,6.73438,58.6172,14149,0,0,0,0,2,0.044888,0.019385,2.246e-05,ok,1
BBMSDppStepwise,500,4,0.0707841,991.643,6.73438,56.8711,13678,0,0,0,0,1,0.061466,0.00931,8.081e-06,ok,1
DijkstraPrims,500,4,0.049809,991.643,6.73438,14.6602,3705,0,0,0,0,1,0.03568,0.01413,-1.001e-06,ok,1
BBMSCore,500,4,0.0514336,991.643,6.73438,9.24219,1474,0,0,0,0,1,0.051429,0,4.628e-06,ok,2
BBMSInter,500,4,0.0221448,991.643,6.73438,16.8594,3427,0,0,0,0,0,0.022151,0,-6.203e-06,ok,2
BBMSDppInstant,500,4,0.0638142,991.643,6.73438,58.5898,14149,0,0,0,0,2,0.054177,0.009622,1.5158e-05,ok,2
BBMSDppStepwise,500,4,0.0696244,991.643,6.73438,56.8672,13678,0,0,0,0,1,0.042124,0.027494,6.365e-06,ok,2
DijkstraPrims,500,4,0.0497133,991.643,6.73438,14.6406,3705,0,0,0,0,1,0.049706,0,7.313e-06,ok,2
BBMSCore,830,0,0.211908,1008.2,6.73438,19.375,4052,0,0,0,0,3,0.202166,0.009724,1.7777e-05,ok,0
BBMSInter,830,0,0.0752348,1008.2,6.73438,40.3711,9434,0,0,0,0,0,0.064206,0.011036,-7.19e-06,ok,0
BBMSDppInstant,830,0,0.199025,1008.2,6.73438,155.73,39157,0,0,0,0,0,0.143667,0.055369,-1.0517e-05,ok,0
