algorithm,N,sample,runtime_s,frechet_dist,ok
BBMS_dpp_instant,6500,1,2305.366,999.5757,True
BBMS_dpp_instant,6500,2,2029.7226,999.4261,True
BBMS_inter,10000,0,3198.3091,1000.6207,True
DijkstraPrims,8500,0,6415.1692,1000.2157,True
BBMS_inter,10000,1,2750.3696,999.3347,True
BBMS_inter,10000,2,2535.3703,1000.4658,True
BBMS_dpp_instant,7000,0,2168.2573,999.5941,True
BBMS_dpp_instant,7000,1,2713.671,1000.2651,True
BBMS_dpp_instant,7000,2,4230.1548,999.6379,True
BBMS_inter,10500,0,5186.3073,1000.5291,True
BBMS_inter,10500,1,2959.5761,1000.1692,True
BBMS_inter,10500,2,2926.9427,1000.4867,True
BBMS_dpp_instant,7500,0,3789.0505,999.1687,True
BBMS_dpp_instant,7500,1,4754.7459,999.2263,True
BBMS_dpp_instant,7500,2,5062.3287,999.8993,True
BBMS_inter,11000,0,7218.0156,1000.6758,True
BBMS_inter,11000,1,4264.402,1000.6041,True
