algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
DijkstraPrims,500,2,0.0108831,12.3349,7.00391,7.00391,1022,0,0,0,0,0,0.010891,0,-7.86e-06,ok,1
BBMSCore,500,2,0.0483598,12.3349,7.00391,9.25,1474,0,0,0,0,1,0.048353,0,6.813e-06,ok,2
BBMSInter,500,2,0.023531,12.3349,7.00391,16.8789,3427,0,0,0,0,0,0.01743,0.006107,-5.993e-06,ok,2
BBMSDppInstant,500,2,0.0648716,12.3349,7.00391,58.7617,14163,0,0,0,0,1,0.035972,0.028898,1.639e-06,ok,2
BBMSDppStepwise,500,2,0.0709239,12.3349,7.00391,56.8711,13694,0,0,0,0,2,0.060392,0.010513,1.8855e-05,ok,2
DijkstraPrims,500,2,0.0105296,12.3349,7.00391,7.00391,1022,0,0,0,0,0,0.010537,0,-7.441e-06,ok,2
BBMSCore,500,3,0.0492037,12.4331,7.01172,9.24219,1474,0,0,0,0,2,0.049186,0,1.7659e-05,ok,0
BBMSInter,500,3,0.0226157,12.4331,7.01562,16.8672,3427,0,0,0,0,0,0.022622,0,-6.266e-06,ok,0
BBMSDppInstant,500,3,0.0639418,12.4331,7.01562,58.6172,14142,0,0,0,0,2,0.054359,0.009564,1.8753e-05,ok,0
BBMSDppStepwise,500,3,0.0702889,12.4331,7.01562,56.7305,13670,0,0,0,0,1,0.049288,0.02099,1.0856e-05,ok,0
DijkstraPrims,500,3,0.00337963,12.4331,7.01562,7.01562,376,0,0,0,0,0,0.003387,0,-7.371e-06,ok,0
BBMSCore,500,3,0.0491224,12.4331,7.01562,9.24219,1474,0,0,0,0,1,0.049115,0,7.442e-06,ok,1
BBMSInter,500,3,0.022562,12.4331,7.01562,16.8594,3427,0,0,0,0,0,0.022569,0,-7.035e-06,ok,1
BBMSDppInstant,500,3,0.0638096,12.4331,7.01562,58.6367,14142,0,0,0,0,3,0.063777,0,3.2619e-05,ok,1
BBMSDppStepwise,500,3,0.0704204,12.4331,7.01562,56.7461,13670,0,0,0,0,0,0.061225,0.009204,-8.566e-06,ok,1
DijkstraPrims,500,3,0.003414,12.4331,7.01562,7.01562,376,0,0,0,0,0,0.003422,0,-7.997e-06,ok,1
BBMSCore,500,3,0.0493019,12.4331,7.01562,9.24609,1474,0,0,0,0,1,0.04929,0,1.1943e-05,ok,2
BBMSInter,500,3,0.0226057,12.4331,7.01562,16.8672,3427,0,0,0,0,1,0.022593,0,1.2678e-05,ok,2
BBMSDppInstant,500,3,0.0643336,12.4331,7.01562,58.5938,14142,0,0,0,0,1,0.054692,0.009627,1.4622e-05,ok,2
BBMSDppStepwise,500,3,0.0704826,12.4331,7.01562,56.7422,13670,0,0,0,0,2,0.070457,0,2.5556e-05,ok,2
DijkstraPrims,500,3,0.00338035,12.4331,7.01562,7.01562,376,0,0,0,0,0,0.003388,0,-7.65e-06,ok,2
BBMSCore,500,4,0.052805,17.0058,7.01953,9.24609,1474,0,0,0,0,0,0.052814,0,-8.958e-06,ok,0
BBMSInter,500,4,0.0246389,17.0058,7.01953,16.8672,3427,0,0,0,0,0,0.024646,0,-7.128e-06,ok,0
BBMSDppInstant,500,4,0.0643801,17.0058,7.01953,58.7305,14158,0,0,0,0,1,0.044956,0.019409,1.5134e-05,ok,0
BBMSDppStepwise,500,4,0.0709551,17.0058,7.01953,56.8711,13679,0,0,0,0,1,0.070945,0,1.0106e-05,ok,0
DijkstraPrims,500,4,0.0446871,17.0058,7.01953,14.4297,3655,0,0,0,0,0,0.044695,0,-7.854e-06,ok,0
BBMSCore,500,4,0.0524638,17.0058,7.02344,9.23047,1474,0,0,0,0,1,0.052458,0,5.776e-06,ok,1
BBMSInter,500,4,0.02408,17.0058,7.02344,16.875,3427,0,0,0,0,0,0.024086,0,-6.032e-06,ok,1
BBMSDppInstant,500,4,0.0639983,17.0058,7.02344,58.7422,14158,0,0,0,0,2,0.035044,0.028928,2.6319e-05,ok,1
BBMSDppStepwise,500,4,0.0710286,17.0058,7.02344,56.8672,13679,0,0,0,0,2,0.049672,0.021338,1.8627e-05,ok,1
DijkstraPrims,500,4,0.0448728,17.0058,7.02344,14.4297,3655,0,0,0,0,0,0.025451,0.01943,-8.189e-06,ok,1
BBMSCore,500,4,0.052435,17.0058,7.02344,9.24219,1474,0,0,0,0,2,0.052417,0,1.7978e-05,ok,2
BBMSInter,500,4,0.0240221,17.0058,7.02344,16.8633,3427,0,0,0,0,0,0.014825,0.009204,-6.858e-06,ok,2
BBMSDppInstant,500,4,0.0640706,17.0058,7.02344,58.7227,14158,0,0,0,0,2,0.044743,0.01931,1.7575e-05,ok,2
BBMSDppStepwise,500,4,0.0708324,17.0058,7.02344,56.8672,13679,0,0,0,0,1,0.049543,0.021282,7.422e-06,ok,2
DijkstraPrims,500,4,0.0448755,17.0058,7.02344,14.4414,3655,0,0,0,0,0,0.044883,0,-7.489e-06,ok,2
BBMSCore,500,5,0.0531307,12.7424,7.02734,9.25,1474,0,0,0,0,1,0.053124,0,6.718e-06,ok,0
BBMSInter,500,5,0.0236661,12.7424,7.02734,16.8672,3427,0,0,0,0,1,0.014397,0.009261,8.127e-06,ok,0
BBMSDppInstant,500,5,0.0645962,12.7424,7.02734,58.75,14153,0,0,0,0,1,0.044973,0.019612,1.1224e-05,ok,0
BBMSDppStepwise,500,5,0.0714584,12.7424,7.02734,56.8555,13674,0,0,0,0,1,0.049828,0.021621,9.441e-06,ok,0
DijkstraPrims,500,5,0.0209394,12.7424,7.02734,9.38672,2033,0,0,0,0,1,0.020648,0,0.000291371,ok,0
BBMSCore,500,5,0.0530106,12.7424,7.02734,9.22656,1474,0,0,0,0,1,0.053,0,1.0585e-05,ok,1
BBMSInter,500,5,0.0238343,12.7424,7.02734,16.8672,3427,0,0,0,0,1,0.018584,0.005242,8.349e-06,ok,1
BBMSDppInstant,500,5,0.0644034,12.7424,7.03125,58.7227,14153,0,0,0,0,2,0.044828,0.019554,2.1414e-05,ok,1
BBMSDppStepwise,500,5,0.0711848,12.7424,7.03125,56.8594,13674,0,0,0,0,1,0.033492,0.037681,1.1773e-05,ok,1
DijkstraPrims,500,5,0.0206226,12.7424,7.03516,9.39062,2033,0,0,0,0,0,0.00827,0.012359,-6.395e-06,ok,1
BBMSCore,500,5,0.0529826,12.7424,7.03516,9.24219,1474,0,0,0,0,1,0.05298,0,2.587e-06,ok,2
BBMSInter,500,5,0.0237441,12.7424,7.03516,16.8672,3427,0,0,0,0,1,0.014472,0.009264,8.057e-06,ok,2
BBMSDppInstant,500,5,0.063843,12.7424,7.03516,58.7422,14153,0,0,0,0,1,0.034751,0.029078,1.3989e-05,ok,2
BBMSDppStepwise,500,5,0.0713498,12.7424,7.03516,56.8633,13674,0,0,0,0,1,0.038987,0.032354,8.829e-06,ok,2
DijkstraPrims,500,5,0.0205813,12.7424,7.03516,9.36328,2033,0,0,0,0,0,0.02059,0,-8.674e-06,ok,2
BBMSCore,500,6,0.0542907,12.6407,7.03906,9.23438,1474,0,0,0,0,0,0.0543,0,-9.329e-06,ok,0
BBMSInter,500,6,0.0244241,12.6407,7.03906,16.8516,3427,0,0,0,0,0,0.01937,0.005061,-6.909e-06,ok,0
BBMSDppInstant,500,6,0.0665331,12.6407,7.03906,58.7422,14159,0,0,0,0,2,0.039838,0.02667,2.5079e-05,ok,0
BBMSDppStepwise,500,6,0.0717724,12.6407,7.03906,56.8594,13682,0,0,0,0,1,0.049919,0.021852,1.411e-06,ok,0
DijkstraPrims,500,6,0.0222374,12.6407,7.03906,9.71875,2114,0,0,0,0,0,0.022231,0,6.436e-06,ok,0
BBMSCore,500,6,0.0537197,12.6407,7.03906,9.23438,1474,0,0,0,0,3,0.043915,0.009708,9.6688e-05,ok,1
BBMSInter,500,6,0.0238137,12.6407,7.03906,16.8672,3427,0,0,0,0,0,0.014359,0.009461,-6.255e-06,ok,1
BBMSDppInstant,500,6,0.0652146,12.6407,7.03906,58.7188,14159,0,0,0,0,2,0.045264,0.019924,2.6555e-05,ok,1
BBMSDppStepwise,500,6,0.0743753,12.6407,7.03906,56.8711,13682,0,0,0,0,0,0.054594,0.01979,-8.704e-06,ok,1
DijkstraPrims,500,6,0.0222456,12.6407,7.03906,9.73828,2114,0,0,0,0,0,0.022253,0,-7.438e-06,ok,1
BBMSCore,500,6,0.0534717,12.6407,7.03906,9.23828,1474,0,0,0,0,1,0.048443,0.005017,1.1732e-05,ok,2
BBMSInter,500,6,0.0237768,12.6407,7.03906,16.875,3427,0,0,0,0,0,0.023783,0,-6.2e-06,ok,2
BBMSDppInstant,500,6,0.0652567,12.6407,7.03906,58.7227,14159,0,0,0,0,1,0.035331,0.02991,1.5694e-05,ok,2
BBMSDppStepwise,500,6,0.0725494,12.6407,7.03906,56.8633,13682,0,0,0,0,0,0.062902,0.009656,-8.577e-06,ok,2
DijkstraPrims,500,6,0.0222187,12.6407,7.04297,9.72266,2114,0,0,0,0,1,0.022208,0,1.0676e-05,ok,2
BBMSCore,500,7,0.0526879,13.9614,7.04297,9.23828,1474,0,0,0,0,1,0.052677,0,1.0862e-05,ok,0
BBMSInter,500,7,0.023441,13.9614,7.04688,16.8398,3427,0,0,0,0,0,0.01396,0.009487,-5.951e-06,ok,0
BBMSDppInstant,500,7,0.0649909,13.9614,7.04688,58.7422,14153,0,0,0,0,2,0.054825,0.009969,0.000196864,ok,0
BBMSDppStepwise,500,7,0.0713248,13.9614,7.04688,56.8633,13672,0,0,0,0,2,0.06175,0.009557,1.7794e-05,ok,0
DijkstraPrims,500,7,0.00888117,13.9614,7.04688,7.04688,911,0,0,0,0,0,0.008889,0,-7.83e-06,ok,0
BBMSCore,500,7,0.0532287,13.9614,7.04688,9.24219,1474,0,0,0,0,2,0.053204,0,2.4686e-05,ok,1
BBMSInter,500,7,0.0242289,13.9614,7.04688,16.8672,3427,0,0,0,0,0,0.014452,0.009783,-6.119e-06,ok,1
BBMSDppInstant,500,7,0.0669875,13.9614,7.04688,58.7461,14153,0,0,0,0,1,0.056678,0.010298,1.1532e-05,ok,1
BBMSDppStepwise,500,7,0.0740427,13.9614,7.04688,56.8672,13672,0,0,0,0,2,0.054209,0.019804,2.9662e-05,ok,1
DijkstraPrims,500,7,0.00897984,13.9614,7.04688,7.04688,911,0,0,0,0,0,0.008988,0,-8.158e-06,ok,1
BBMSCore,500,7,0.0529512,13.9614,7.04688,9.22656,1474,0,0,0,0,1,0.05294,0,1.1199e-05,ok,2
BBMSInter,500,7,0.023763,13.9614,7.04688,16.8438,3427,0,0,0,0,0,0.023769,0,-5.963e-06,ok,2
BBMSDppInstant,500,7,0.0663993,13.9614,7.04688,58.7148,14153,0,0,0,0,2,0.056156,0.010209,3.4288e-05,ok,2
BBMSDppStepwise,500,7,0.0723701,13.9614,7.04688,56.8594,13672,0,0,0,0,1,0.062671,0.009692,7.067e-06,ok,2
DijkstraPrims,500,7,0.00897536,13.9614,7.04688,7.04688,911,0,0,0,0,0,0.008984,0,-8.64e-06,ok,2
BBMSCore,500,8,0.0524957,12.7953,7.05469,9.26172,1474,0,0,0,0,0,0.052504,0,-8.306e-06,ok,0
BBMSInter,500,8,0.0245227,12.7953,7.05469,16.8672,3427,0,0,0,0,1,0.024524,0,-1.343e-06,ok,0
BBMSDppInstant,500,8,0.0694862,12.7953,7.05859,58.7422,14152,0,0,0,0,1,0.04133,0.028146,1.0214e-05,ok,0
BBMSDppStepwise,500,8,0.0731081,12.7953,7.05859,56.8789,13680,0,0,0,0,0,0.053413,0.019705,-9.858e-06,ok,0
DijkstraPrims,500,8,0.0244017,12.7953,7.05859,10.1484,2233,0,0,0,0,1,0.014355,0.010045,1.724e-06,ok,0
BBMSCore,500,8,0.0520691,12.7953,7.05859,9.24219,1474,0,0,0,0,1,0.042456,0.009605,8.082e-06,ok,1
BBMSInter,500,8,0.0231316,12.7953,7.0625,16.8672,3427,0,0,0,0,1,0.023127,0,4.647e-06,ok,1
BBMSDppInstant,500,8,0.065502,12.7953,7.0625,58.7422,14152,0,0,0,0,2,0.044366,0.021114,2.203e-05,ok,1
BBMSDppStepwise,500,8,0.072545,12.7953,7.0625,56.8672,13680,0,0,0,0,1,0.052983,0.019549,1.3028e-05,ok,1
DijkstraPrims,500,8,0.024331,12.7953,7.0625,10.1641,2233,0,0,0,0,0,0.024339,0,-7.996e-06,ok,1
BBMSCore,500,8,0.0520735,12.7953,7.0625,9.24609,1474,0,0,0,0,1,0.052061,0,1.2546e-05,ok,2
BBMSInter,500,8,0.0232448,12.7953,7.0625,16.8711,3427,0,0,0,0,0,0.023251,0,-6.233e-06,ok,2
BBMSDppInstant,500,8,0.0659968,12.7953,7.0625,58.7188,14152,0,0,0,0,1,0.055772,0.010212,1.2806e-05,ok,2
BBMSDppStepwise,500,8,0.0720282,12.7953,7.0625,56.8672,13680,0,0,0,0,1,0.049817,0.022204,7.166e-06,ok,2
DijkstraPrims,500,8,0.0243836,12.7953,7.0625,10.1445,2233,0,0,0,0,0,0.024391,0,-7.36e-06,ok,2
BBMSCore,500,9,0.0532067,12.0941,7.06641,9.23438,1474,0,0,0,0,2,0.043316,0.00988,1.07e-05,ok,0
BBMSInter,500,9,0.0231738,12.0941,7.06641,16.8633,3427,0,0,0,0,0,0.02318,0,-6.238e-06,ok,0
BBMSDppInstant,500,9,0.0662013,12.0941,7.06641,58.6172,14142,0,0,0,0,1,0.045574,0.020621,6.312e-06,ok,0
BBMSDppStepwise,500,9,0.0717711,12.0941,7.06641,56.8672,13674,0,0,0,0,2,0.052267,0.019486,1.8102e-05,ok,0
DijkstraPrims,500,9,0.0112072,12.0941,7.06641,7.06641,1062,0,0,0,0,0,0,0.011215,-7.805e-06,ok,0
BBMSCore,500,9,0.0530999,12.0941,7.06641,9.24219,1474,0,0,0,0,1,0.049309,0.003781,9.899e-06,ok,1
BBMSInter,500,9,0.0230508,12.0941,7.06641,16.8789,3427,0,0,0,0,0,0.01939,0.003666,-5.246e-06,ok,1
BBMSDppInstant,500,9,0.0653286,12.0941,7.07031,58.6211,14142,0,0,0,0,2,0.047471,0.017832,2.5608e-05,ok,1
BBMSDppStepwise,500,9,0.0717189,12.0941,7.07031,56.8672,13674,0,0,0,0,1,0.060594,0.011121,3.887e-06,ok,1
DijkstraPrims,500,9,0.0112162,12.0941,7.07031,7.07031,1062,0,0,0,0,0,0.011224,0,-7.791e-06,ok,1
BBMSCore,500,9,0.0531417,12.0941,7.07031,9.22656,1474,0,0,0,0,1,0.053128,0,1.3683e-05,ok,2
BBMSInter,500,9,0.0232998,12.0941,7.07031,16.8438,3427,0,0,0,0,0,0.023306,0,-6.239e-06,ok,2
BBMSDppInstant,500,9,0.0671225,12.0941,7.07031,58.5938,14142,0,0,0,0,1,0.046201,0.020916,5.501e-06,ok,2
BBMSDppStepwise,500,9,0.0733009,12.0941,7.07031,56.8672,13674,0,0,0,0,1,0.050566,0.022732,2.85e-06,ok,2
DijkstraPrims,500,9,0.0112223,12.0941,7.07031,7.07031,1062,0,0,0,0,0,0.011229,0,-6.663e-06,ok,2
BBMSCore,830,0,0.182268,11.9016,7.07422,19.3672,4052,0,0,0,0,2,0.172015,0.010235,1.8319e-05,ok,0
BBMSInter,830,0,0.0696981,11.9016,7.07422,40.3672,9434,0,0,0,0,1,0.059447,0.01024,1.1128e-05,ok,0
BBMSDppInstant,830,0,0.199598,11.9016,7.07422,155.961,39217,0,0,0,0,1,0.169349,0.030248,1.168e-06,ok,0
BBMSDppStepwise,830,0,0.21526,11.9016,7.07422,150.59,37823,0,0,0,0,1,0.155969,0.059281,1.0227e-05,ok,0
